trace	step	action	arg1	arg2	arg3	arg4	arg5	arg6	revision	selected	focused	panX	panY	zoom	captured	objectAAvailable	objectBAvailable	outcome
0	1	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
0	2	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
0	3	FocusNext	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
0	4	SetCamera	0	1	-1	0	0	0	0	0	2	0	0	1	-1	true	true	4
0	5	SetCamera	1	1	-1	1	0	0	0	0	2	0	0	1	-1	true	true	1
0	6	ReplaceDocument	0	3	0	1	1	0	3	0	2	0	0	1	-1	false	true	0
0	7	CapturePointer	0	2	0	0	0	0	3	0	2	0	0	1	-1	false	true	1
0	8	Select	2	0	0	0	0	0	3	0	2	0	0	1	-1	false	true	1
0	9	ReplaceDocument	2	1	1	1	0	0	3	0	2	0	0	1	-1	false	true	1
0	10	ReplaceDocument	2	2	1	1	0	0	3	0	2	0	0	1	-1	false	true	1
0	11	FocusPrevious	1	0	0	0	0	0	3	0	2	0	0	1	-1	false	true	1
0	12	ReplaceDocument	1	1	0	0	1	0	3	0	2	0	0	1	-1	false	true	1
1	1	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
1	2	ReleasePointer	1	2	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	3	FocusPrevious	2	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	4	ReplaceDocument	2	2	1	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	5	FocusPrevious	2	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	6	CapturePointer	1	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	7	Select	1	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	8	ReplaceDocument	1	2	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	9	CapturePointer	2	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	10	FocusNext	2	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	11	FocusNext	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
1	12	ReleasePointer	0	2	0	0	0	0	0	0	2	0	0	1	-1	true	true	5
2	1	SetCamera	0	1	-1	0	0	0	0	0	0	0	0	1	-1	true	true	4
2	2	CapturePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
2	3	Select	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	2
2	4	FocusPrevious	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
2	5	CapturePointer	1	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
2	6	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
2	7	ClearSelection	2	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
2	8	ClearSelection	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
2	9	CapturePointer	2	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
2	10	ReplaceDocument	0	0	1	1	1	0	0	0	1	0	0	1	-1	true	true	3
2	11	Select	1	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
2	12	ReplaceDocument	2	2	1	1	0	0	0	0	1	0	0	1	-1	true	true	1
3	1	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
3	2	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
3	3	ReleasePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
3	4	ReplaceDocument	2	1	1	1	0	0	0	0	0	0	0	1	-1	true	true	1
3	5	CapturePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
3	6	ReplaceDocument	2	3	1	1	0	0	0	0	0	0	0	1	-1	true	true	1
3	7	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
3	8	Select	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	2
3	9	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
3	10	ClearSelection	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
