trace	step	action	arg1	arg2	arg3	arg4	arg5	arg6	revision	selected	focused	panX	panY	zoom	captured	objectAAvailable	objectBAvailable	outcome
0	1	CapturePointer	1	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
0	2	CapturePointer	0	1	0	0	0	0	0	0	0	0	0	1	1	true	true	0
0	3	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	1	true	true	1
0	4	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	1	true	true	0
0	5	ClearSelection	2	0	0	0	0	0	0	0	1	0	0	1	1	true	true	1
0	6	ReplaceScene	3	0	1	1	-1	0	0	0	1	0	0	1	1	true	true	6
0	7	ClearSelection	1	0	0	0	0	0	0	0	1	0	0	1	1	true	true	1
0	8	SetCamera	1	1	-1	0	0	0	0	0	1	0	0	1	1	true	true	1
0	9	FocusNext	0	0	0	0	0	0	0	0	2	0	0	1	1	true	true	0
0	10	SetCamera	0	1	-1	2	0	0	0	0	2	1	-1	2	1	true	true	0
0	11	FocusNext	2	0	0	0	0	0	0	0	2	1	-1	2	1	true	true	1
0	12	ReplaceScene	1	0	1	1	-1	2	1	0	2	1	-1	2	1	false	true	0
1	1	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
1	2	FocusPrevious	2	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	3	FocusNext	1	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	4	ReleasePointer	0	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	5
1	5	FocusPrevious	1	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
1	6	SetCamera	0	1	-1	2	0	0	0	0	1	1	-1	2	-1	true	true	0
1	7	FocusNext	2	0	0	0	0	0	0	0	1	1	-1	2	-1	true	true	1
1	8	ClearSelection	0	0	0	0	0	0	0	0	1	1	-1	2	-1	true	true	0
1	9	FocusPrevious	2	0	0	0	0	0	0	0	1	1	-1	2	-1	true	true	1
1	10	ReleasePointer	2	1	0	0	0	0	0	0	1	1	-1	2	-1	true	true	1
1	11	ReleasePointer	0	1	0	0	0	0	0	0	1	1	-1	2	-1	true	true	5
1	12	ReleasePointer	2	2	0	0	0	0	0	0	1	1	-1	2	-1	true	true	1
2	1	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
2	2	ReplaceScene	3	1	1	1	-1	0	0	0	0	0	0	1	-1	true	true	6
2	3	ReleasePointer	1	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
2	4	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
2	5	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
2	6	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
2	7	ReplaceScene	3	0	0	1	-1	0	0	0	2	0	0	1	-1	true	true	6
2	8	FocusPrevious	2	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
2	9	FocusPrevious	1	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
2	10	Select	2	2	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
2	11	ReleasePointer	2	2	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
2	12	ClearSelection	1	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
3	1	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
3	2	CapturePointer	0	2	0	0	0	0	0	0	0	0	0	1	2	true	true	0
3	3	FocusNext	1	0	0	0	0	0	0	0	0	0	0	1	2	true	true	1
3	4	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	2	true	true	0
3	5	ClearSelection	0	0	0	0	0	0	0	0	2	0	0	1	2	true	true	0
3	6	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	2	true	true	0
3	7	Select	1	2	0	0	0	0	0	0	1	0	0	1	2	true	true	1
3	8	FocusPrevious	2	0	0	0	0	0	0	0	1	0	0	1	2	true	true	1
