  display-typography     provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  cards-stats-media      provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  buttons                provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  text-numeric-input     provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  selection-toggles      provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  layout-containers      provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  navigation-menus       provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  overlays               provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  feedback-status        provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  data-collections       provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  charts-statistical     provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  charts-advanced        provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  graphs-custom          provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  tpl-workbench          provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  tpl-list               provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  tpl-detail             provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  tpl-form               provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  tpl-result             provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
  tpl-exception          provesScreenshot=true  notAuthoritativeFor=[pixel-level-ant-fidelity-vs-upstream-antd; live-pointer-hit-testing-beyond-seeded-script; chart-graph-controls-rendered-with-seeded-sample-data-only]
second-ant-showcase: wrote 19 page evidence record(s) under specs/173-live-responsiveness-runner/readiness/evidence/1
